Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill,physics_kwh,physics_bill,ratio,target_bill,ac_kwh,temperature,cooling_degree_days,season,month_sin,month_cos,ac_ratio,high_ac_usage,total_hours,avg_hours_per_device,log_tariff,ac_temp_interaction,temp_ac_interaction,usage_intensity
16,22.0,3.0,14.0,1.0,0,6,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,450,7.9,3555.0,310.5,2452.9500000000003,1.3,3555.0,135.0,38,14,2,1.2246467991473532e-16,-1.0,0.43478260869565216,1,56.0,9.333333333333334,2.186051276738094,1890.0,1890.0,15.525
9,21.0,3.0,6.0,1.0,0,2,Chennai,SJVN Ltd.,349,8.8,3071.2000000000003,267.3,2352.2400000000002,1.3,3071.2000000000003,135.0,20,0,0,0.8660254037844386,0.5000000000000001,0.5050505050505051,1,40.0,6.666666666666667,2.2823823856765264,0.0,0.0,20.56153846153846
13,22.0,3.0,6.0,1.0,0,10,New Delhi,Sterlite Power Transmission Ltd,361,8.5,3068.5,280.2,2381.7,1.2883654532476803,3068.5,135.0,28,4,3,-0.8660254037844386,0.5000000000000001,0.48179871520342615,1,45.0,7.5,2.2512917986064953,540.0,540.0,16.48235294117647
15,22.0,3.0,9.0,1.0,0,4,Mumbai,Jaiprakash Power,394,9.2,3624.8,293.4,2699.2799999999997,1.3,3624.8,135.0,30,6,1,0.8660254037844387,-0.4999999999999998,0.4601226993865031,1,50.0,8.333333333333334,2.322387720290225,810.0,810.0,15.442105263157893
8,22.0,1.0,5.0,1.0,0,10,Noida,Reliance Power,263,8.2,2156.6,176.7,1448.9399999999998,1.3,2156.6,45.0,28,4,3,-0.8660254037844386,0.5000000000000001,0.2546689303904924,0,37.0,6.166666666666667,2.2192034840549946,180.0,180.0,17.669999999999998
22,22.0,3.0,9.0,1.0,0,2,Mumbai,NHPC,405,9.2,3726.0,308.1,2834.52,1.3,3726.0,135.0,20,0,0,0.8660254037844386,0.5000000000000001,0.43816942551119764,1,57.0,9.5,2.322387720290225,0.0,0.0,11.850000000000001
8,18.0,3.0,19.0,1.0,0,11,Hyderabad,Reliance Energy,388,8.4,3259.2000000000003,290.7,2441.88,1.3,3259.2000000000003,135.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.4643962848297214,1,49.0,8.166666666666666,2.2407096892759584,540.0,540.0,24.224999999999998
10,17.0,1.0,10.0,1.0,0,2,Navi Mumbai,Jaiprakash Power,243,9.3,2259.9,173.4,1612.6200000000001,1.3,2259.9,45.0,20,0,0,0.8660254037844386,0.5000000000000001,0.25951557093425603,0,39.0,6.5,2.33214389523559,0.0,0.0,14.450000000000001
15,22.0,3.0,17.0,1.0,0,2,Ahmedabad,JSW Energy Ltd.,418,7.9,3302.2000000000003,317.4,2507.46,1.3,3302.2000000000003,135.0,20,0,0,0.8660254037844386,0.5000000000000001,0.42533081285444235,1,58.0,9.666666666666666,2.186051276738094,0.0,0.0,16.705263157894734
7,17.0,3.0,14.0,1.0,0,8,Mumbai,Torrent Power Ltd.,325,9.2,2989.9999999999995,269.1,2475.72,1.2077294685990336,2989.9999999999995,135.0,32,8,2,-0.8660254037844385,-0.5000000000000004,0.5016722408026756,1,42.0,7.0,2.322387720290225,1080.0,1080.0,24.463636363636365
5,19.0,2.0,8.0,1.0,0,2,Gurgaon,Bonfiglioli Transmission Pvt. Ltd.,308,8.3,2556.4,210.9,1750.4700000000003,1.3,2556.4,90.0,20,0,0,0.8660254037844386,0.5000000000000001,0.4267425320056899,1,35.0,5.833333333333333,2.2300144001592104,0.0,0.0,26.3625
8,18.0,3.0,19.0,1.0,0,1,Ratnagiri,JSW Energy Ltd.,424,7.4,3137.6000000000004,290.7,2151.18,1.3,3137.6000000000004,135.0,20,0,0,0.49999999999999994,0.8660254037844387,0.4643962848297214,1,49.0,8.166666666666666,2.128231705849268,0.0,0.0,24.224999999999998
11,22.0,3.0,14.0,1.0,0,5,Ratnagiri,Indowind Energy,427,7.4,3159.8,300.0,2220.0,1.3,3159.8,135.0,38,14,1,0.49999999999999994,-0.8660254037844387,0.45,1,51.0,8.5,2.128231705849268,1890.0,1890.0,20.0
